Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,Location,Postal Code
Chiswick High Road,575000,Flat / Apartment,773,2,2,Chiswick,W4 4AG
Overstrand Mansions,1575000,Flat / Apartment,1580,3,3,Prince of Wales Drive,SW11 4EZ
Somerset Road,4750000,House,6602,6,6,Wimbledon,SW19 5JZ
Burleigh Place,1175000,House,1909,4,4,Putney,SW15 6ES
Smarts Lane,695000,House,1337,3,3,Loughton,IG10 4BU
Ellerton Road,1700000,House,2374,5,5,Wandsworth,SW18 3NH
Ladbroke Crescent & Basement,1000000,House,2125,2,2,131 Ladbroke Grove,W11 1PS
Barts Square,1635000,New development,903,2,2, City Of London,EC1A 9DS
Elizabeth Place,625000,Flat / Apartment,902,2,2, Esher,KT10 8AP
Windsor Court,2400000,Flat / Apartment,1736,4,4, Bayswater,W2 4SN
Southbank Place,1200000,New development,590,1,1, South Bank,SE1 7NJ
The oTTo,785000,New development,1173,2,2, The Otto Buildings,E5 8DS
Chipstead Street,2300000,House,1912,3,3, Fulham,SW6 3SS
Ruxley Crescent,1800000,New development,3877,4,4, Esher,KT10 0TX
Sydney House,1300000,Flat / Apartment,1465,3,3,Woodstock Road,W4 1DP
Waldemar Avenue,1750000,House,1580,4,4,Fulham,SW6 5NA
Crescent Road,1855000,House,2917,5,5,Kingston upon Thames,KT2 7RD
Spring Terrace,5250000,House,4745,7,7,Richmond,TW9 1LW
Montague Road,6000000,House,4798,6,6,Richmond,TW10 6QW
Fairfax Mews,1395000,House,1902,5,5,Putney,SW15 6FF
Fairacres,1385000,Flat / Apartment,2056,3,3, Putney,SW15 5LX
Ormond Yard,3695000,House,2316,4,4,St James's,SW1Y 6JT
Oakwood Court,3100000,Flat / Apartment,2470,4,4,Holland Park,W14 8JS
Barnsbury Park,5500000,House,3674,4,4,Islington,N1 1HQ
Fieldsway House,925000,Flat / Apartment,1012,3,3, Highbury,N5 1QA
Long & Waterson Apartments,550000,Penthouse,414,1,1, Hackney,E2 8HN
Mare Street,260000,Studio,381,0,0,Hackney,E8 3RH
Reliance Wharf,550000,Flat / Apartment,547,1,1,Hertford Road,N1 5ET
Gayton Road,2400000,House,2202,5,5,Hampstead,NW3 1TU
Ram Quarter,580000,New development,460,1,1, Wandsworth,SW18 1TH
Grimston Road,2300000,House,2785,5,5,Fulham,SW6 3QR
Fenn Mansions,400000,Flat / Apartment,774,2,2,20 Love Lane,SE18 6GY
New Providence Wharf,415000,Flat / Apartment,525,1,1, Canary Wharf,E14 9PW
Enclave Court,1395000,Penthouse,1230,2,2,2 Dallington Street,EC1V 0BH
Fairfax Road,2800000,House,2734,6,6, Chiswick,W4 1EN
Redcliffe Gardens,1195000,Flat / Apartment,872,2,2,Chelsea,SW10 9HA
Drayton Court,2750000,Flat / Apartment,1839,4,4,Drayton Gardens,SW10 9RH
Lower Mall,6950000,House,5501,6,6,Hammersmith,W6 9DJ
Albert Bridge Road,2750000,House,2675,4,4,Battersea,SW11 4PX
Ridgway,525000,Flat / Apartment,514,2,2,Wimbledon,SW19 4SX
Devonshire Mews South,3750000,House,3256,3,3,Marylebone,W1G 6QW
Cubitt Building,750000,Flat / Apartment,604,1,1, Chelsea,SW1W 8QL
Selborne Villas,1150000,House,2357,4,4, Esher,KT10 9UD
Dance Square,650000,Flat / Apartment,584,1,1, Clerkenwell,EC1V 3AN
Cranbrook Road,1295000,House,1356,4,4,Chiswick,W4 2LH
Buer Road,765000,Flat / Apartment,1362,3,3, Fulham,SW6 4LA
Lillian Road,1100000,House,1420,3,3,Barnes,SW13 9JF
Ranelagh Avenue,2350000,House,2153,4,4,Barnes,SW13 0BL
Hillbrook Road,965000,House,1222,4,4,Tooting Bec,SW17  8SF
Weller Court,1750000,Flat / Apartment,732,1,1, Holland Park,W11 3NT
"The oTTo, Hackney",800000,New development,1119,2,2, Clapton,E5 8DS
The Grange,1050000,House,2375,5,5, Walton-on-Thames,KT12 3HN
Stuart Tower,475000,Flat / Apartment,525,1,1,105 Maida Vale,W9 1UJ
Abbey Road Cross,752500,New development,874,2,2,131-143 Belsize Road,NW6 4BR
Littleworth Avenue,2795000,House,6061,7,7,Esher,KT10 9PB
Ruxley Crescent,1750000,New development,3913,4,4, Esher,KT10 0TX
Clapham Common West Side,2995000,House,3406,5,5,Between The Commons,SW4 9AU
Sutherland House,550000,Flat / Apartment,609,2,2,137-139 Queenstown Road,SW8 3RJ
Ormond House,625000,Flat / Apartment,428,1,1, Westminster,SW1P 2TB
Buckingham Gate,2290000,Flat / Apartment,1604,2,2,St. James's,SW1E 6LB
Radnor Walk,3450000,House,1820,5,5,Chelsea,SW3 4BN
King Henrys Road,995000,Flat / Apartment,710,2,2,Primrose Hill,NW3 3QR
ICON7,450000,New development,538,1,1, Holloway,N7 0JN
Montgomery Road,850000,Flat / Apartment,935,2,2,Chiswick,W4 5LZ
Carlton Mansions,975000,Flat / Apartment,950,2,2, Maida Vale,W9 1NP
Acer Road,940000,House,1074,3,3,Hackney,E8 3GX
Corkran Road,1595000,House,3261,5,5,Surbiton,KT6 6PN
Oxhey Road,850000,House,1687,4,4,Oxhey,WD19 4QG
Horsell Road,1695000,House,1944,5,5,Highbury,N5 1XP
Avon Court,399995,Flat / Apartment,472,1,1, Canary Wharf,E14 7SZ
Castelnau,5750000,House,4682,6,6,Barnes,SW13 9EU
Lower Belgrave Street,4650000,House,2865,4,4,Belgravia,SW1W 0LN
Harper Lane,1650000,House,4016,8,8, Radlett,WD7 9HJ
Goldhurst House,2650000,Flat / Apartment,1811,3,3, Parr's Way,W6 9AN
Mandeville Courtyard,525000,Flat / Apartment,775,1,1,142 Battersea Park Road,SW11 4NB
Tufton Street,1650000,Flat / Apartment,1099,2,2,Westminster,SW1P 3AF
Colosseum Terrace,850000,Flat / Apartment,726,2,2,Albany Street,NW1 4EB
Rede Place,2700000,House,1791,3,3,Notting Hill,W2 4TU
Tennyson Road,695000,House,795,2,2,Wimbledon,SW19 8SH
Coleford Road,1400000,House,1799,4,4,London,SW18 1AD
St. Anns Terrace,2050000,House,1293,3,3,St John's Wood,NW8 6PJ
Durward Street,615000,Flat / Apartment,972,2,2,Whitechapel,E1 5BA
Fairacres,1000000,Flat / Apartment,1777,3,3, Putney,SW15 5LX
Moore House,1850000,New development,1328,3,3,2 Gatliff Road,SW1W 8DT
Whiston House,450000,Flat / Apartment,459,1,1,Bingham Court,N1 2DH
Grand Avenue,500000,House,963,2,2,Surbiton,KT5 9HU
Dance Square,650000,Flat / Apartment,583,1,1,Peartree Street,EC1V 3AN
Flanders Road,1395000,House,1068,1,1,Chiswick,W4 1NB
The Spinney,2395000,House,4966,5,5, Oxshott,KT22 0PL
Astley House,725000,Flat / Apartment,858,3,3,42 Trinity Church Road,SW13 8EA
Suffolk Road,2000000,House,2525,4,4,Barnes,SW13 9PH
Raynham Road,1350000,House,1328,3,3,Brackenbury Village,W6 0HY
Henning Street,2100000,House,2191,4,4,Battersea,SW11 3DR
The Mount,3650000,House,8034,6,6,Esher,KT10 8LQ
Cranbourne Court,1500000,Flat / Apartment,1132,3,3,Albert Bridge Road,SW11 4PE
Rothwell Street,3625000,House,2190,4,4,Primrose Hill,NW1 8YH
New Concordia Wharf,1500000,Flat / Apartment,1274,2,2,Mill Street,SE1 2BB
Castelnau,525000,Flat / Apartment,630,2,2,Barnes,SW13 9ER
Banbury House,290000,Flat / Apartment,455,1,1,Banbury Road,E9 7ED
Putney Heath Lane,1725000,House,2931,5,5,Putney,SW15 3JG
Rydon Street,1395000,House,1510,3,3,Islington,N1 7AL
Aragon Tower,400000,Flat / Apartment,705,2,2,George Beard Road,SE8 3AL
Cedar Mews,1795000,House,2067,4,4, Putney,SW15 6ED
Tormead,600000,Flat / Apartment,1160,2,2, Northwood,HA6 2BX
Kent Avenue,1500000,House,1997,4,4,Ealing,W13 8BH
Trefoil Road,1600000,House,2149,4,4,Wandsworth,SW18 2EQ
The Regency,1325000,Flat / Apartment,1195,3,3, Westminster,SW1P 4HD
Murray Mews,1395000,House,1587,3,3,Camden,NW1 9RJ
Lynwood Road,825000,House,2094,4,4,Thames Ditton,KT7 0DJ
Landmark East Tower,679000,Flat / Apartment,832,2,2, Canary Wharf,E14 9DB
Stanley Mansions,1500000,Flat / Apartment,1244,3,3,Park Walk,SW10 0AG
Ducks Hill Road,1000000,New development,1501,3,3,Northwood,HA6 2SB
Blomfield Road,4995000,House,3035,4,4,Little Venice,W9 2PF
Wadham Road,1350000,House,1604,4,4,Putney,SW15 2LS
Orsman Road,600000,Flat / Apartment,660,2,2,Hackney,N1 5QL
Cinnabar Wharf East,875000,Flat / Apartment,627,1,1,28 Wapping High Street,E1W 1NG
Boardwalk Place,565000,Flat / Apartment,872,2,2,Canary Wharf,E14 5SH
Burlington Lodge Studios,1250000,Flat / Apartment,1201,2,2,48 Rigault Road,SW6 4JJ
Overstrand Mansions,1800000,Flat / Apartment,1453,3,3,Prince of Wales Drive,SW11 4HA
Eden House,1495000,New development,1781,4,4,New Road,N8 8TA
Craven Gardens,1050000,Flat / Apartment,1831,3,3,Wimbledon,SW19 8LU
Leopold Road,1850000,House,2503,5,5,Wimbledon,SW19 7JG
St. Marys Road,2900000,House,5896,7,7, Surbiton,KT6 5EY
Cleveland Gardens,2100000,House,2438,5,5,Barnes,SW13 0AJ
Elm Bank Gardens,2250000,House,2600,5,5,Barnes,SW13 0NT
Cottenham Park Road,1375000,House,1884,4,4,Wimbledon,SW20 0SB
Barmouth Road,1400000,House,2138,5,5,Wandsworth,SW18 2DT
St. Stephen's Gardens,635000,Flat / Apartment,927,2,2,Putney,SW15 2RR
Alpine Grove,449950,Flat / Apartment,526,2,2,South Hackney,E9 7SX
Townshend Court,425000,Flat / Apartment,474,1,1,Shannon Place,NW8 7DP
High Road,650000,House,1783,3,3, Coulsdon,CR5 3SD
Parkfields,1795000,House,1902,3,3,Putney,SW15 6NH
Fitzroy Road,1600000,Flat / Apartment,801,2,2,Primrose Hill,NW1 8TU
The Lodge,1750000,Flat / Apartment,1002,3,3,Kensington Park Gardens,W11 3HA
Douglas Road,1900000,House,1703,5,5,Islington,N1 2LD
Union Wharf,675000,Flat / Apartment,792,1,1,23 Wenlock Road,N1 7SJ
Long & Waterson Apartments,1500000,New development,1273,3,3, Hackney,E2 8HN
ICON7,620000,New development,786,2,2, Holloway,N7 0JN
Branch Place,650000,Flat / Apartment,747,2,2,De Beauvoir,N1 5PH
Hermitage Court,500000,Flat / Apartment,663,1,1,Knighten Street,E1W 1PW
Carlton House,765000,New development,841,2,2,Carlton Drive,SW15 2BS
Cleveland Gardens,1600000,House,1854,4,4,Barnes,SW13 0AH
Juer Street,1699999,House,2119,5,5,Battersea,SW11 4RF
Foxmore Street,950000,Flat / Apartment,1294,4,4,Battersea,SW11 4PU
Southwick Mews,2150000,House,1582,3,3,Paddington,W2 1JG
Pall Mall,2950000,Penthouse,1840,2,2,St James's,SW1Y 5JH
Britannia Road,1500000,House,1115,3,3,Fulham,SW6 2HJ
Tradewinds Court,650000,Flat / Apartment,882,2,2,Asher Way,E1W 2JB
Leys Road,4825000,House,10475,7,7,Oxshott,KT22 0QE
Lillian Road,1575000,House,1983,4,4,Barnes,SW13 9JG
Abercrombie Street,525000,Flat / Apartment,707,2,2,Battersea,SW11 2JB
Rutland Road,775000,Flat / Apartment,967,2,2,South Hackney,E9 7TT
Ruvigny Gardens,3250000,House,2210,3,3,Putney,SW15 1JR
Hazelwood Drive,775000,Bungalow,1459,4,4,Pinner,HA5 3TT
Eton Avenue,3250000,House,2543,5,5,Hampstead,NW3 3HL
Drapers Court,700000,Flat / Apartment,797,2,2,59 Lurline Gardens,SW11 4DF
Oakhill Road,525000,Flat / Apartment,540,1,1,Putney,SW15 2QU
Conway Road,2450000,House,3007,6,6,Wimbledon,SW20 8PA
Henfield Road,550000,House,538,2,2,Wimbledon,SW19 3HH
West Side Common,3950000,House,6186,6,6,Wimbledon,SW19 4UF
Fullerton Road,1450000,House,1984,5,5, Wandsworth,SW18 1BX
Eaton Row,5750000,House,2896,3,3,Belgravia,SW1W 0JA
Park View Court,180000,Flat / Apartment,745,2,2, Bow,E3 3AN
Paxton Close,699950,House,909,3,3,Richmond,TW9 2AW
Hardwicke House,665000,Flat / Apartment,935,3,3, Richmond,TW10 6PW
Kersfield House,210000,Studio,328,0,0, Putney,SW15 3HJ
Westminster Close,1550000,House,3112,5,5,Northwood,HA6 2TG
Upper Grosvenor Street,18000000,House,8315,7,7,Mayfair,W1K 2NP
Barclay Oval,1100000,House,3153,5,5,Woodford Green,IG8 0PP
Thornhill Crescent,2850000,House,2857,5,5,Islington,N1 1BJ
Ripplevale Grove,1150000,Flat / Apartment,1074,3,3,Islington,N1 1HT
Long & Waterson Apartments,550000,Penthouse,414,1,1, Hackney,E2 8HN
Long & Waterson Apartments,690000,New development,596,1,1, Hackney,E2 8HN
Ardwick Road,995000,Flat / Apartment,999,2,2,Fortune Green,NW2 2BX
Waynflete House,575000,Penthouse,1029,3,3, Esher,KT10 9QS
94 Claygate,334950,Flat / Apartment,477,1,1, Claygate,KT10 0RB
Carlton House,1000000,Penthouse,962,2,2,Putney,SW15 2FU
Queens Road,750000,House,1510,3,3,Thames Ditton,KT7 0QX
Southborough Road,2100000,New development,3596,5,5,Surbiton,KT6 6JN
Pavilion Park,1299000,New development,1903,4,4, East Molesey,KT8 9DX
Sutherland Gardens,1295000,House,1813,4,4,East Sheen,SW14 8DB
Turnstone House,1280000,Flat / Apartment,1169,2,2,Star Place,E1W 1AE
St. Marys Grove,1425000,House,2028,4,4, Chiswick,W4 3LL
Stanton Road,1795000,House,1720,4,4,Barnes,SW13 0EX
Afghan Road,1125000,House,1423,4,4,Battersea,SW11 2QD
Old Chesterton Building,945000,Flat / Apartment,1001,2,2,110 Battersea Park Road,SW11 4LZ
Kersley Street,3150000,House,2809,5,5,Battersea,SW11 4PR
Grosvenor Avenue,699950,Flat / Apartment,920,2,2,Highbury,N5 2NP
Speldhurst Road,1275000,House,1420,4,4,Chiswick,W4 1BY
Mortimer Court,460000,Flat / Apartment,431,1,1,Abbey Road,NW8 9AB
Cavendish Avenue,6795000,House,4637,6,6,St John's Wood,NW8 9JE
Bangalore Street,1695000,House,2096,4,4,Putney,SW15 1QD
Hilltop,1050000,House,2254,5,5,Loughton,IG10 1PX
Cruikshank Street,900000,Flat / Apartment,769,2,2,Grays Inn,WC1X 9HF
Elm Bank Mansions,1200000,Flat / Apartment,1155,3,3, Barnes,SW13 0NS
Queen Anne Road,1100000,House,1607,4,4,South Hackney,E9 7AH
Paintworks,650000,New development,646,2,2,Kingsland Road,E2 8AG
West Temple Sheen,2950000,House,3716,5,5,East Sheen,SW14 7AP
Holmead Road,2450000,House,2313,4,4, Fulham,SW6 2JE
Addison House,625000,Flat / Apartment,652,2,2, St John's Wood,NW8 9EL
Cumberland Terrace Mews,295000,Studio,344,0,0,Regent's Park,NW1 4HR
St. Johns Wood Terrace,2350000,House,1519,4,4,St John's Wood,NW8 6JJ
Wimbolt Street,1999995,House,1935,5,5,Shoreditch,E2 7BX
Church Road,550000,Flat / Apartment,582,2,2,Richmond,TW9 1UA
St. Augustines Road,499000,Flat / Apartment,451,1,1,Camden,NW1 9RN
Regents Drive,950000,House,1857,4,4,Woodford Green,IG8 8RZ
Piercing Hill,799999,House,1507,4,4, Epping,CM16 7JN
Eaton Terrace,6450000,House,3336,5,5,Belgravia,SW1W 8EZ
City North East Tower,475000,New development,560,1,1,3 City North Place,N4 3FQ
ICON7,560000,New development,657,2,2, Holloway,N7 0JN
ICON7,610000,New development,758,2,2, Holloway,N7 0JN
ICON7,600000,New development,758,2,2, Holloway,N7 0JN
Octavia House,615000,Flat / Apartment,797,1,1,Imperial Wharf,SW6 2FH
Gloucester House,625000,Flat / Apartment,960,2,2, Sheen Road,TW10 5BB
Entwistle Terrace,600000,Flat / Apartment,658,1,1,St. Peters Square,W6 9AW
Rutherford House,650000,Flat / Apartment,848,2,2, Battersea,SW11 4BT
Evelyn Road,1285000,House,1476,3,3,Richmond,TW9 2TF
Oakford Road,1795000,House,1824,5,5,Kentish Town,NW5 1AJ
Walham Grove,825000,Flat / Apartment,843,2,2,Fulham,SW6 1QR
Underwood Street,2350000,Flat / Apartment,2577,3,3,Old Street,N1 7LG
Stokesheath Road,4650000,House,7996,6,6,Oxshott,KT22 0PN
Tile Kiln Lane,1695000,House,6356,6,6, Uxbridge,UB9 6LU
Atina Court,1200000,Flat / Apartment,932,2,2, Belsize Park,NW3 4UR
Cottimore Avenue,649950,House,1378,4,4,Walton-on-Thames,KT12 2AE
Voltaire Buildings,450000,Flat / Apartment,600,2,2,330 Garratt Lane,SW18 4FR
Chipstead Street,3450000,House,3070,5,5,Fulham,SW6 3SR
Cambridge Street,995000,Flat / Apartment,908,2,2,Pimlico,SW1V 4QE
Arthur Road,795000,Flat / Apartment,1536,3,3,Wimbledon,SW19 7DN
Cromwell Road,1775000,House,2336,5,5,Wimbledon,SW19 8LF
Burwood Park Road,1295000,House,2371,5,5, Walton-on-Thames,KT12 5LJ
Forge Lane,975000,House,1201,3,3,Richmond,TW10 7BF
High Oaks Close,1100000,House,3185,5,5,Coulsdon,CR5 3EZ
Roskell Road,549950,Flat / Apartment,730,1,1,Putney,SW15 1DS
Clarendon Gardens,2600000,Flat / Apartment,1779,3,3,Little Venice,W9 1AZ
Turpins Lane,700000,House,1441,4,4,Woodford Green,IG8 8AZ
Pavilion Road,3950000,House,1917,1,1,Knightsbridge,SW1X 0AX
Elwood Street,1350000,House,1629,4,4,Highbury,N5 1EH
Ellington Street,2750000,House,2500,5,5,Islington,N7 8PN
Tollington Way,699500,New development,990,2,2, London,N7 6RG
Well Walk,799950,Flat / Apartment,770,2,2,Hampstead,NW3 1LD
Irene Road,2895000,House,2730,5,5, Fulham,SW6 4AL
Melbourne Mansions,799950,Flat / Apartment,940,3,3,Queens Club Gardens,W14 9SF
Wandsworth Bridge Road,2250000,House,2949,6,6,Fulham,SW6 2TB
Trystings Close,1125000,House,2495,5,5, Esher,KT10 0TF
Lillie Square East,2020000,New development,1262,3,3, Earls Court,SW6 1UE
Graveney Road,975000,House,1308,4,4,Tooting,SW17 0EG
Merino Court,850000,Flat / Apartment,978,3,3, Clerkenwell,EC1V 8BG
North Road,2400000,House,2411,4,4,Highgate,N6 4AA
Jubilee Court,475000,Flat / Apartment,496,1,1, Greenwich,SE10 9FJ
Onslow Road,800000,Flat / Apartment,734,2,2,Richmond,TW10 6QH
Old Oak Avenue,950000,House,3006,5,5, Coulsdon,CR5 3PG
Roehampton High Street,1200000,House,1934,4,4,Putney,SW15 4HH
Arthur Road,3250000,House,4370,6,6,Wimbledon,SW19 7DP
Gibson Square,2375000,House,2153,3,3,Islington,N1 0RD
Eamont Court,650000,Flat / Apartment,595,2,2,Shannon Place,NW8 7DN
Disraeli Road,1295000,House,876,4,4,Putney,SW15 2DS
Quill Lane,1000000,House,905,2,2,Putney,SW15 1PD
York Mansions,1885000,Flat / Apartment,1675,4,4,Prince of Wales Drive,SW11 4DL
Montem Terrace,3495000,New development,4420,6,6, Wimbledon,SW20 8TG
Ballantine Street,1200000,House,1378,3,3, Wandsworth,SW18 1AL
Freshford Street,1200000,House,1751,4,4, Wandsworth,SW18 3TF
Swanage Road,1600000,House,2330,5,5,Wandsworth,SW18 2DZ
Arlesey Close,799000,House,1214,3,3,Putney,SW15 2EX
Disraeli Road,850000,Flat / Apartment,876,2,2,Putney,SW15 2DZ
Chestnut Court,500000,Flat / Apartment,872,2,2, Northwood,HA6 3NL
Montagu Mews North,2500000,House,1323,3,3,Marylebone,W1H 2JR
Albion Street,3950000,House,2547,4,4,Hyde Park,W2 2AS
ICON7,420000,New development,538,1,1, Holloway,N7 0JN
Richmond Road,424995,Flat / Apartment,422,1,1,Hackney,E8 3AA
The Pryors,2150000,Flat / Apartment,2074,4,4,East Heath Road,NW3 1BP
Bishops Road,1500000,House,1645,3,3,Fulham,SW6 7AB
Discovery Dock Apartments West,550000,Flat / Apartment,600,1,1, Canary Wharf,E14 9RT
Wilmington Square,475000,Flat / Apartment,381,1,1,Clerkenwell,WC1X 0EG
Nevill Court,595000,Flat / Apartment,791,2,2,Edith Terrace,SW10 0TL
Ferry Road,2250000,House,2937,6,6,Barnes,SW13 9PR
Battersea Church Road,900000,Flat / Apartment,1218,3,3,Battersea,SW11 3ND
Buckingham Gate,1990000,Flat / Apartment,1560,2,2,St. James's,SW1E 6LB
South Park Road,1195000,House,1464,3,3,Wimbledon,SW19 8SZ
Cadogan Terrace,325000,Flat / Apartment,339,1,1,Victoria Park,E9 5HP
Sterling House,850000,Flat / Apartment,1456,2,2, Putney,SW15 6AR
Boatman's Court,879000,New development,1004,2,2, Putney,SW15 1PP
Hightrees House,575000,Flat / Apartment,695,2,2,Nightingale Lane,SW12 8AH
Green Street,4100000,Flat / Apartment,1496,2,2,Mayfair,W1K 6RG
Morton Road,1800000,House,1919,3,3,Islington,N1 3BD
Highbury Gardens,649950,Flat / Apartment,804,2,2,52 Holloway Road,N7 8BW
Crediton Hill,899950,Flat / Apartment,1143,2,2,West Hampstead,NW6 1HR
Southborough Road,1995000,New development,3510,5,5,Surbiton,KT6 6JN
Queen's Gate Gardens,1595000,Flat / Apartment,1170,2,2,Kensington,SW7 5RR
United House,499000,New development,690,2,2,Mayflower Street,SE16 4JL
Three Riverside,3410000,Penthouse,2852,4,4,Riverside Quarter,SW18 1PP
Wardo Avenue,1650000,House,1756,4,4,Fulham,SW6 6RB
Kinnoul Road,1225000,House,1806,4,4,Fulham,W6 8NQ
Spencer Hill,1095000,House,950,2,2,Wimbledon,SW19 4PA
Kingston Hill,2395000,House,3498,5,5,Kingston upon Thames,KT2 7LN
Upton Court,550000,Flat / Apartment,904,2,2, Wimbledon,SW20 8JB
Earlsfield Road,1500000,House,2583,5,5, Wandsworth,SW18 3DA
Dempster Road,750000,Flat / Apartment,911,2,2, Wandsworth,SW18 1AS
Atheldene Road,1150000,House,1822,5,5, Wandsworth,SW18 3BN
Townshend Court,665000,Flat / Apartment,647,2,2,Shannon Place,NW8 7DP
